Item,Gender,Age,Rating
1UP,F,40,3.76
Joy Ride,F,12,6.91
Myna Cookies,F,28,7.51
1UP,M,17,1.49
Feastables,M,54,2.46
Myna Cookies,M,22,5.7
Myna Cookies,M,39,3.51
1UP,M,15,2.78
Lunchables,M,12,3.07
Feastables,F,22,3.26
1UP,M,35,6.94
Feastables,M,9,1.96
Feastables,M,26,5.96
Myna Cookies,F,42,4.87
Joy Ride,M,25,3.08
Feastables,M,32,3.94
Oath Oats,F,9,2.79
Myna Cookies,M,25,5.28
Lunchables,M,26,1.24
Joy Ride,M,38,1.04
Oath Oats,M,13,5.4
Oath Oats,M,58,1.58
Lunchables,F,47,1.21
Joy Ride,F,39,3.78
Myna Cookies,F,46,1.36
Lunchly,M,45,7.21
Joy Ride,M,24,1.19
Lunchables,M,46,2.74
Oath Oats,F,7,4.07
Myna Cookies,M,17,5.7
Joy Ride,M,34,3.3
Lunchly,F,31,2.09
Lunchly,M,56,7.87
Feastables,F,29,6.87
Feastables,F,37,7.02
1UP,F,36,2.75
Lunchables,M,48,1.12
Joy Ride,M,41,3.12
Joy Ride,M,13,4.76
1UP,M,22,3.29
Oath Oats,M,32,3.48
Oath Oats,M,54,1.81
1UP,M,58,7.76
Oath Oats,F,55,2.37
Feastables,M,8,6.89
Joy Ride,F,7,2.36
1UP,M,54,3.88
Joy Ride,M,18,5.9
Lunchly,M,11,7.42
Feastables,F,43,1.93
Myna Cookies,F,38,7.79
Feastables,F,15,6.0
1UP,F,47,1.29
Myna Cookies,M,41,3.79
Lunchly,F,25,4.03
1UP,M,54,6.21
Lunchables,M,22,1.75
Joy Ride,F,9,2.29
Lunchly,F,26,1.57
Joy Ride,F,30,4.0
Oath Oats,F,39,3.07
Lunchables,F,30,1.17
Lunchables,F,58,3.75
Lunchly,F,17,8.33
Lunchables,F,55,1.72
Myna Cookies,M,14,1.66
Lunchables,F,42,1.55
Joy Ride,F,44,7.54
Joy Ride,M,46,5.47
1UP,F,26,4.62
Joy Ride,M,41,5.6
1UP,M,54,4.05
Joy Ride,F,31,6.11
Myna Cookies,M,41,1.33
1UP,M,31,4.96
Feastables,M,35,2.11
Oath Oats,M,24,1.36
Lunchly,F,52,3.39
Joy Ride,M,24,1.64
Lunchables,F,8,1.66
Joy Ride,M,41,3.18
Lunchables,M,22,3.94
Oath Oats,M,47,1.53
Oath Oats,M,42,1.05
Oath Oats,F,39,3.29
Lunchables,F,10,6.65
Joy Ride,M,39,3.42
Oath Oats,M,20,2.39
Myna Cookies,F,27,5.55
1UP,M,54,1.34
Lunchables,M,26,3.85
Lunchables,M,14,7.21
Joy Ride,F,13,2.83
Lunchables,F,9,1.11
Lunchables,F,23,3.8
Oath Oats,M,39,2.5
Joy Ride,M,54,4.78
Oath Oats,F,18,5.79
1UP,F,57,5.31
1UP,F,28,7.61
Oath Oats,F,28,3.83
1UP,M,52,7.07
Joy Ride,F,36,5.45
Lunchly,M,44,6.61
Oath Oats,F,44,3.03
Myna Cookies,M,51,5.01
Myna Cookies,F,57,1.9
Lunchables,F,14,6.68
1UP,F,33,6.74
Myna Cookies,F,33,5.38
Lunchables,M,40,3.46
Lunchly,F,27,5.56
Joy Ride,M,36,2.45
Joy Ride,M,39,2.92
Joy Ride,M,34,2.5
Myna Cookies,M,53,3.64
Lunchly,F,39,1.27
Myna Cookies,M,11,5.33
1UP,M,54,3.36
Myna Cookies,M,25,5.59
Lunchly,F,10,8.16
Lunchly,F,41,5.77
1UP,F,55,3.38
Lunchly,F,23,2.82
Lunchly,M,50,4.47
Joy Ride,M,34,5.85
1UP,F,36,3.44
Feastables,M,35,7.56
Feastables,M,52,1.27
Lunchly,M,59,3.93
Feastables,F,12,7.77
Feastables,F,41,4.84
Lunchly,M,47,3.96
Feastables,F,43,4.98
Myna Cookies,F,30,5.03
Lunchables,F,35,3.19
1UP,F,55,1.89
Lunchables,F,52,1.75
Lunchly,M,59,5.06
Joy Ride,F,37,7.07
1UP,M,41,4.93
Lunchly,M,39,2.67
Joy Ride,F,58,5.76
Lunchables,M,27,3.22
Lunchly,M,38,2.67
1UP,M,29,3.64
1UP,F,39,4.74
Oath Oats,F,9,4.48
Myna Cookies,M,24,3.73
Feastables,F,31,3.08
